Algorithm,Mean Adapt. MSE,Mean Speech MSE,Mean SNR (dB),Mean Delta SNR (db),Mean Clock Time (s),Mean Convergence Time (s)
LMS,0.0034,0.0003,11.16,11.16,3.429,0.0010
LMS_ALE,0.0031,0.0028,0.27,0.27,3.576,0.0000
NLMS,0.0035,0.0003,11.35,11.35,8.428,0.0010
NLMS_ALE,0.0060,0.003,-0.11,-0.11,4.018,0.0000
RLS,0.0033,0.0001,13.04,13.04,12.769,0.0018
RLS_ALE,0.0069,0.0033,-0.185,-0.185,12.725,0.0013
APA,0.0035,0.0004,10.62,10.62,12.01,0.001
APA_ALE,0.0056,00032,-0.34,-0.34,11.786,0.0
FDNLMS,0.001,0.001,2.26,-0.001,0.259,0.0004
FDNLMS_ALE,0.001,0.008,2.27,0.006,0.267,0.00044
